"filename", "language", "Batch", "JSON", "Groovy", "JSON with Comments", "Java Properties", "Markdown", "Java", "comment", "blank", "total"
"t:\Projects\MechaRAMS\2024Competition\.pathplanner\settings.json", "JSON with Comments", 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"t:\Projects\MechaRAMS\2024Competition\.wpilib\wpilib_preferences.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"t:\Projects\MechaRAMS\2024Competition\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"t:\Projects\MechaRAMS\2024Competition\WPILib-License.md", "Markdown", 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"t:\Projects\MechaRAMS\2024Competition\build.gradle", "Groovy", 0, 0, 62, 0, 0, 0, 0, 19, 21, 102
"t:\Projects\MechaRAMS\2024Competition\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"t:\Projects\MechaRAMS\2024Competition\gradlew.bat", "Batch", 41, 0, 0, 0, 0, 0, 0, 30, 22, 93
"t:\Projects\MechaRAMS\2024Competition\settings.gradle", "Groovy", 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"t:\Projects\MechaRAMS\2024Competition\src\main\deploy\pathplanner\navgrid.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\Constants.java", "Java", 0, 0, 0, 0, 0, 0, 660, 244, 181, 1085
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\Controller.java", "Java", 0, 0, 0, 0, 0, 0, 137, 26, 26, 189
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\Main.java", "Java", 0, 0, 0, 0, 0, 0, 8, 13, 5, 26
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\Robot.java", "Java", 0, 0, 0, 0, 0, 0, 66, 49, 33, 148
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\RobotContainer.java", "Java", 0, 0, 0, 0, 0, 0, 531, 164, 150, 845
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ArmDownToIntake.java", "Java", 0, 0, 0, 0, 0, 0, 14, 9, 4, 27
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ArmDownToNoteVision.java", "Java", 0, 0, 0, 0, 0, 0, 10, 9, 5, 24
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ArmHoldCurrentPositionWithPID.java", "Java", 0, 0, 0, 0, 0, 0, 23, 11, 12, 46
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ArmHoldPassiveAtCurrentAngle.java", "Java", 0, 0, 0, 0, 0, 0, 21, 11, 9, 41
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ArmRelease.java", "Java", 0, 0, 0, 0, 0, 0, 12, 8, 5, 25
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ArmStop.java", "Java", 0, 0, 0, 0, 0, 0, 12, 8, 5, 25
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ArmTurnToAngle.java", "Java", 0, 0, 0, 0, 0, 0, 34, 9, 10, 53
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ArmUpForClimb.java", "Java", 0, 0, 0, 0, 0, 0, 10, 9, 4, 23
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoBlueBottomFarNote.java", "Java", 0, 0, 0, 0, 0, 0, 40, 10, 14, 64
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoBlueBottomFarNoteREVNonStop.java", "Java", 0, 0, 0, 0, 0, 0, 39, 10, 14, 63
